jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|rwidth:n,  modelParams|sensorParams|encoders|rpos:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|lwidth:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|lpos:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[20]:window=1000:field=rpos,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[20]:window=1000:field=rpos, 
1008,  1698,  completed,  eof,  2014-05-04 17:24:51,  2014-05-04 17:26:45,  114,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|lpos:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  28629,  None,  None,  0.05005,  11,  14,  None,  3,  272,  275,  NontemporalMultiStep,  0.05015,  0.219057543443,  5.2121639827, 
1008,  1699,  completed,  eof,  2014-05-04 17:24:51,  2014-05-04 17:26:36,  105,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|lwidth:n_272.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  28629,  None,  None,  0.05005,  11,  14,  272,  3,  None,  275,  NontemporalMultiStep,  0.05015,  0.332658068447,  7.91512757635, 
1008,  1720,  completed,  eof,  2014-05-04 17:24:51,  2014-05-04 17:26:36,  105,  modelParams|sensorParams|encoders|rpos:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  28629,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  NontemporalMultiStep,  0.05015,  0.325336705205,  7.74092610768, 
1008,  1731,  completed,  eof,  2014-05-04 17:24:51,  2014-05-04 17:26:36,  105,  modelParams|sensorParams|encoders|rwidth:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  28629,  272,  None,  0.05005,  11,  14,  None,  3,  None,  275,  NontemporalMultiStep,  0.05015,  0.302617927277,  7.20036496475, 
1008,  1732,  completed,  eof,  2014-05-04 17:26:36,  2014-05-04 17:32:54,  378,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|lpos:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.0001,  9,  12,  None,  1,  22,  28,  TemporalMultiStep,  0.1,  0.192409716884,  4.57811669254, 
1008,  1733,  completed,  eof,  2014-05-04 17:26:36,  2014-05-04 17:32:30,  354,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|lwidth:n_22.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  None,  0.0001,  9,  12,  22,  1,  None,  28,  TemporalMultiStep,  0.1,  0.192409716884,  4.57811669254, 
1008,  1734,  completed,  eof,  2014-05-04 17:26:36,  2014-05-04 17:34:47,  491,  modelParams|sensorParams|encoders|rpos:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  TemporalMultiStep,  0.1,  0.192409716884,  4.57811669254, 
1008,  1735,  completed,  eof,  2014-05-04 17:26:46,  2014-05-04 17:33:17,  391,  modelParams|sensorParams|encoders|rwidth:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  28629,  22,  None,  0.0001,  9,  12,  None,  1,  None,  28,  TemporalMultiStep,  0.1,  0.192409716884,  4.57811669254, 
1008,  1736,  completed,  eof,  2014-05-04 17:32:30,  2014-05-04 17:35:16,  166,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  28629,  None,  None,  0.1,  12,  16,  None,  5,  521,  521,  NontemporalMultiStep,  0.0003,  0.129352176062,  3.07775182063, 
1008,  1737,  completed,  eof,  2014-05-04 17:32:54,  2014-05-04 17:35:23,  149,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|sensorParams|encoders|lwidth:n_521.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  28629,  None,  None,  0.1,  12,  16,  521,  5,  None,  521,  NontemporalMultiStep,  0.0003,  0.346262465504,  8.23882493567, 
1008,  1738,  completed,  eof,  2014-05-04 17:33:17,  2014-05-04 17:35:49,  152,  modelParams|sensorParams|encoders|rpos:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  28629,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  NontemporalMultiStep,  0.0003,  0.195578317452,  4.65350905519, 
1008,  1739,  completed,  eof,  2014-05-04 17:34:47,  2014-05-04 17:37:19,  152,  modelParams|sensorParams|encoders|rwidth:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  28629,  521,  None,  0.1,  12,  16,  None,  5,  None,  521,  NontemporalMultiStep,  0.0003,  0.329020051179,  7.82856610818, 
1008,  1740,  completed,  eof,  2014-05-04 17:35:16,  2014-05-04 17:45:06,  590,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|lpos:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.075075,  28629,  None,  None,  0.025075,  10,  13,  None,  2,  147,  151,  TemporalMultiStep,  0.075075,  0.142679592955,  3.39485882922, 
1008,  1741,  completed,  eof,  2014-05-04 17:35:23,  2014-05-04 17:43:35,  492,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|lwidth:n_147.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.075075,  28629,  None,  None,  0.025075,  10,  13,  147,  2,  None,  151,  TemporalMultiStep,  0.075075,  0.140727859263,  3.34842009038, 
1008,  1742,  completed,  eof,  2014-05-04 17:35:49,  2014-05-04 17:43:57,  488,  modelParams|sensorParams|encoders|rpos:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.075075,  28629,  None,  147,  0.025075,  10,  13,  None,  2,  None,  151,  TemporalMultiStep,  0.075075,  0.173214345795,  4.12139002496, 
1008,  1743,  completed,  eof,  2014-05-04 17:37:19,  2014-05-04 17:45:18,  479,  modelParams|sensorParams|encoders|rwidth:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.075075,  28629,  147,  None,  0.025075,  10,  13,  None,  2,  None,  151,  TemporalMultiStep,  0.075075,  0.133206839525,  3.16946807816, 
1008,  1744,  completed,  eof,  2014-05-04 17:43:35,  2014-05-04 17:45:50,  135,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|lpos:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.025225,  28629,  None,  None,  0.075025,  11,  15,  None,  4,  396,  398,  NontemporalMultiStep,  0.025225,  0.17096208744,  4.06780072741, 
1008,  1745,  completed,  eof,  2014-05-04 17:43:57,  2014-05-04 17:46:04,  127,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|sensorParams|encoders|lwidth:n_396.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.025225,  28629,  None,  None,  0.075025,  11,  15,  396,  4,  None,  398,  NontemporalMultiStep,  0.025225,  0.328706523143,  7.82110615265, 
1008,  1746,  completed,  eof,  2014-05-04 17:45:06,  2014-05-04 17:47:09,  123,  modelParams|sensorParams|encoders|rpos:n_396.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.025225,  28629,  None,  396,  0.075025,  11,  15,  None,  4,  None,  398,  NontemporalMultiStep,  0.025225,  0.276413860808,  6.57687631742, 
1008,  1747,  completed,  eof,  2014-05-04 17:45:18,  2014-05-04 17:47:19,  121,  modelParams|sensorParams|encoders|rwidth:n_396.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.025225,  28629,  396,  None,  0.075025,  11,  15,  None,  4,  None,  398,  NontemporalMultiStep,  0.025225,  0.317933657917,  7.56478108281, 
1008,  1748,  completed,  eof,  2014-05-04 17:45:50,  2014-05-04 17:48:12,  142,  modelParams|clParams|alpha_0.0955047148893.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|lpos:n_499.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.00229630431068,  28629,  None,  None,  0.0955047148893,  12,  16,  None,  5,  499,  521,  NontemporalMultiStep,  0.00229630431068,  0.144184747934,  3.43067186012, 
1008,  1749,  completed,  eof,  2014-05-04 17:46:04,  2014-05-04 17:47:38,  94,  modelParams|clParams|alpha_0.0348151425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|lwidth:n_192.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_175.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0815543478447,  28629,  None,  None,  0.0348151425553,  10,  13,  192,  2,  None,  175,  NontemporalMultiStep,  0.0815543478447,  0.267874298207,  6.3736895204, 
1008,  1750,  completed,  eof,  2014-05-04 17:47:09,  2014-05-04 17:48:46,  97,  modelParams|sensorParams|encoders|rpos:n_195.modelParams|clParams|alpha_0.0328351247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_175.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0815543478447,  28629,  None,  195,  0.0328351247259,  10,  13,  None,  2,  None,  175,  NontemporalMultiStep,  0.0815543478447,  0.293133954522,  6.97470726573, 
1008,  1751,  completed,  eof,  2014-05-04 17:47:19,  2014-05-04 17:48:54,  95,  modelParams|sensorParams|encoders|rwidth:n_195.modelParams|clParams|alpha_0.0328351247259.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_175.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0815543478447,  28629,  195,  None,  0.0328351247259,  10,  13,  None,  2,  None,  175,  NontemporalMultiStep,  0.0815543478447,  0.27686867657,  6.58769801429, 
1008,  1752,  completed,  eof,  2014-05-04 17:47:38,  2014-05-04 17:50:04,  146,  modelParams|clParams|alpha_0.0760244297787.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|lpos:n_402.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  28629,  None,  None,  0.0760244297787,  12,  16,  None,  4,  402,  521,  NontemporalMultiStep,  0.0003,  0.142613866963,  3.39329497234, 
1008,  1753,  completed,  eof,  2014-05-04 17:48:12,  2014-05-04 17:49:41,  89,  modelParams|clParams|alpha_0.0153348574447.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|lwidth:n_101.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_127.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0785656521553,  28629,  None,  None,  0.0153348574447,  10,  13,  101,  2,  None,  127,  NontemporalMultiStep,  0.0785656521553,  0.185511608854,  4.41398598216, 
1008,  1754,  completed,  eof,  2014-05-04 17:48:46,  2014-05-04 17:50:15,  89,  modelParams|sensorParams|encoders|rpos:n_98.modelParams|clParams|alpha_0.0273048752741.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_127.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0785656521553,  28629,  None,  98,  0.0273048752741,  10,  13,  None,  2,  None,  127,  NontemporalMultiStep,  0.0785656521553,  0.22540931588,  5.36329541146, 
1008,  1755,  completed,  eof,  2014-05-04 17:48:54,  2014-05-04 17:50:25,  91,  modelParams|sensorParams|encoders|rwidth:n_98.modelParams|clParams|alpha_0.0273048752741.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_127.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0685956521553,  28629,  98,  None,  0.0273048752741,  10,  13,  None,  2,  None,  127,  NontemporalMultiStep,  0.0685956521553,  0.258589365004,  6.15276768561, 
1008,  1756,  completed,  eof,  2014-05-04 17:49:41,  2014-05-04 17:52:09,  148,  modelParams|clParams|alpha_0.095005.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|lpos:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  28629,  None,  None,  0.095005,  12,  16,  None,  5,  521,  521,  NontemporalMultiStep,  0.0003,  0.132382782382,  3.14986080559, 
1008,  1757,  completed,  eof,  2014-05-04 17:50:04,  2014-05-04 17:51:38,  94,  modelParams|clParams|alpha_0.034315427666.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|lwidth:n_184.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_175.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.074573043534,  28629,  None,  None,  0.034315427666,  10,  13,  184,  3,  None,  175,  NontemporalMultiStep,  0.074573043534,  0.280832068991,  6.68200132338, 
1008,  1758,  completed,  eof,  2014-05-04 17:50:15,  2014-05-04 17:51:51,  96,  modelParams|sensorParams|encoders|rpos:n_193.modelParams|clParams|alpha_0.0383653741777.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_175.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.074573043534,  28629,  None,  193,  0.0383653741777,  10,  13,  None,  2,  None,  175,  NontemporalMultiStep,  0.074573043534,  0.2518156543,  5.9915968334, 
1008,  1759,  completed,  eof,  2014-05-04 17:50:25,  2014-05-04 17:52:02,  97,  modelParams|sensorParams|encoders|rwidth:n_193.modelParams|clParams|alpha_0.0383653741777.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_175.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.074573043534,  28629,  193,  None,  0.0383653741777,  10,  13,  None,  2,  None,  175,  NontemporalMultiStep,  0.074573043534,  0.279430631151,  6.6486560949, 
